product,store,price,category,price_numeric
"Šumavský Eidam, strouhaný (45%)",kosik,399.00,Sýry,399.0
Smetanito Smetanové GIGA,kosik,254.50,Sýry,254.5
DeLacto Gouda plátky bez laktózy,kosik,489.00,Mléčné,489.0
ARO Eidam 30% strouhaný,kosik,332.67,Sýry,332.67
"Madeta Jihočeský Eidam sýr 20%, plátky",kosik,352.00,Sýry,352.0
Sedlčanský Hermelín Figura,kosik,459.00,Sýry,459.0
Sedlčanský Sedlčanský Hermelín Duopack 2x100g,kosik,449.50,Sýry,449.5
Formagia Mozzarella strouhaná,kosik,332.67,Sýry,332.67
Président Gouda plátkový sýr,kosik,529.00,Sýry,529.0
Gervais Original s pažitkou,kosik,286.25,Sýry,286.25
"Olomoucké tvarůžky, věnečky",kosik,399.20,Sýry,399.2
Milko Žervé z Poděbrad krémové,kosik,311.25,Sýry,311.25
"Krolewski Sýr 45% uzený, plátky",kosik,299.00,Sýry,299.0
Blaník Camembert měkký zrající plnotučný sýr s bílou plísní na povrchu (45%),kosik,287.20,Sýry,287.2
Fine Life Red Cheddar 50 % bloček,kosik,374.50,Sýry,374.5
Smetanito Tavený sýr (3 ks),kosik,366.00,Sýry,366.0
Džiugas Mild tvrdý sýr zrající 12 měsíců,kosik,610.56,Sýry,610.56
Milko Eidam 30% plátky,kosik,349.00,Sýry,349.0
"Dublin Dairy Cheddar White Mature, bloček",kosik,574.50,Sýry,574.5
Grikios Salátový sýr,kosik,314.50,Sýry,314.5
Madeta Balkánský sýr bez příchutě,kosik,312.17,Sýry,312.17
Sedlčanský Hermelín na gril originál s brusinkovou omáčkou (4x100g),kosik,437.25,Sýry,437.25
ARO Gouda 48% sýr plátkový,kosik,269.80,Sýry,269.8
Madeta Blaťácké zlato,kosik,332.50,Sýry,332.5
Bohemilk Horácký sýr plátky,kosik,449.00,Sýry,449.0
Sedlčanský Hermelín na gril originál s grilovacím kořením (4x100g),kosik,437.25,Sýry,437.25
ALNATURA BIO Mozzarella strouhaná,kosik,532.67,Sýry,532.67
Džiugas Tvrdý sýr zrající 18 měsíců,kosik,666.11,Sýry,666.11
Gervais Natur Vanička,kosik,249.50,Sýry,249.5
Madeta Sýrařův výběr Moravský bochník (45%) plátky,kosik,369.00,Sýry,369.0
Madeta Madetka tavený sýr,kosik,299.00,Sýry,299.0
Madeta Jihočeský Cottage natur bez laktózy,kosik,199.33,Mléčné,199.33
Président Salakis Balkánský sýr ,kosik,271.60,Sýry,271.6
Madeta Madeland 45% sýr holandského typu,kosik,429.00,Sýry,429.0
Milko Gouda 48% plátky ,kosik,389.00,Sýry,389.0
Authentic Farmářské sýrové nitě uzené,kosik,499.90,Sýry BIO a farmářské,499.9
Gervais Original s paprikou a rajčaty,kosik,286.25,Sýry,286.25
Sedlčanský Hermelín smetanový,kosik,459.00,Sýry,459.0
Madeta Jihočeská Niva 30%,kosik,389.00,Sýry,389.0
Sedlčanský Hermelín bez laktózy,kosik,469.00,Mléčné,469.0
Blaník Burger plátkový sýr (35%),kosik,291.54,Sýry,291.54
Président Salakis Feta,kosik,499.50,Sýry,499.5
Président Tavené plátky Cheddar,kosik,374.50,Sýry,374.5
Président Cheddar plátkový sýr,kosik,629.00,Sýry,629.0
Président Camembert,kosik,532.22,Sýry,532.22
Président Emmental plátkový sýr,kosik,529.00,Sýry,529.0
Madeta Romadur Měkký zrající sýr,kosik,319.00,Sýry,319.0
Madeta Sýrařův výběr Tylžský sýr (45%) plátky,kosik,369.00,Sýry,369.0
Président Rondelé Čerstvý sýr s vlašskými ořechy z kraje Dordogne,kosik,529.00,Sýry,529.0
Balsýr Žirovnický sýr balkánského typu,kosik,163.17,Sýry,163.17
Madeta Jihočeský Cottage fit,kosik,199.33,Sýry,199.33
Dolní Přím Niva plnotučný přírodní sýr,kosik,319.00,Sýry,319.0
Authentic Farmářské sýrové nitě,kosik,469.90,Sýry BIO a farmářské,469.9
Král Sýrů Hermelín zelený pepř,kosik,474.17,Sýry,474.17
Mlekovita Gouda ultratenké plátky,kosik,332.67,Sýry,332.67
Korbáčky uzený,kosik,758.00,Sýry,758.0
Milko Mandava čerstvý sýr,kosik,269.00,Sýry,269.0
ARO Mascarpone sýr 82% ,kosik,259.80,Sýry,259.8
Přímo z farmy Radonický balkán,kosik,303.20,Sýry BIO a farmářské,303.2
Apetito Smetanový tavený sýr (3ks),kosik,352.67,Sýry,352.67
Madeta Madeland 40% tavený sýr,kosik,311.20,Sýry,311.2
"Metro Chef Parmigiano Reggiano sýr, strouhaný",kosik,659.80,Sýry,659.8
ALNATURA BIO Gouda sýr strouhaný,kosik,532.67,Sýry,532.67
Krajanka Žervé natur,kosik,236.25,Sýry,236.25
Spinosa Burrata z buvolího mléka AOP Kampánie,kosik,639.20,Sýry,639.2
Axios Halloumi bloček,kosik,474.50,Sýry,474.5
Président Rondelé s modrým sýrem,kosik,529.00,Sýry,529.0
Madeta Madeland Maxi 45% sýr holandského typu,kosik,359.60,Sýry,359.6
Formagia Mascarpone,kosik,259.80,Sýry,259.8
Smetanito Tavený sýr se šunkou (3 ks),kosik,366.00,Sýry,366.0
Milko Eidam uzený 30% plátky ,kosik,399.00,Sýry,399.0
Dodoni Feta DOP,kosik,766.00,Sýry,766.0
Sedlčanský Hermelín Figura na gril s kořením (4x100g),kosik,437.25,Sýry,437.25
Président Maasdamer plátkový sýr,kosik,529.00,Sýry,529.0
Madeta Lipánek Jemný sýr plátkový,kosik,369.00,Mléčné,369.0
Koliós Sýr smetanový Labneh,kosik,199.50,Sýry,199.5
Ambrosi Parmigiano Reggiano sýr 12měsíční,kosik,949.50,Sýry,949.5
Pâturages Čerstvý kozí sýr 10x20g,kosik,499.50,Sýry,499.5
Milko Tolštejn PROTEIN 30% plátky,kosik,399.00,Sýry,399.0
Madeta Sýrařův výběr Gouda (48%) plátky,kosik,369.00,Sýry,369.0
"Lakmilk Eidam 30%, strouhaný",kosik,349.00,Sýry,349.0
Milko Žervé s paprikou,kosik,311.25,Sýry,311.25
Gran Moravia Scaglie,kosik,749.00,Sýry,749.0
Král Sýrů Hermelín provensálské bylinky,kosik,474.17,Sýry,474.17
Milko Žervé česnek a bylinky,kosik,311.25,Sýry,311.25
Liptov Bryndza,kosik,499.09,Sýry,499.09
ALNATURA BIO Parmigiano Reggiano PDO sýr 24 měsíců zrání strouhaný,kosik,1 047.50,Sýry,
Madeta Sýrařův výběr Tylžský sýr uzený (45%) plátky,kosik,369.00,Sýry,369.0
Agrofarma Parenica gazdovská uzená,kosik,635.45,Sýry BIO a farmářské,635.45
Milko Tolštejn 45% plátky,kosik,399.00,Sýry,399.0
Kromilk Žervé krémový sýr,kosik,432.22,Sýry,432.22
Milko Žervé s pažitkou,kosik,311.25,Sýry,311.25
Q-Concept Gran Formagia sýr,kosik,560.77,Sýry,560.77
Q-Concept Gouda Tomatoes&Olives sýr,kosik,606.92,Sýry,606.92
Madeta Blaťácké zlato s vlašskými ořechy,kosik,332.50,Sýry,332.5
Fine Life Cottage bez příchuti,kosik,139.50,Sýry,139.5
"Džiugas Mild tvrdý sýr zrající 12 měsíců, strouhaný",kosik,679.00,Sýry,679.0
Král Sýrů Hermelín lahůdková paprika,kosik,474.17,Sýry,474.17
Lakmilk Žervé s pažitkou,kosik,186.25,Sýry,186.25
Bohemilk Farmářský uzený sýr plátky,kosik,489.00,Sýry,489.0
Napoleon Sýr s modrou plísní plátky,kosik,479.00,Sýry,479.0
Král Sýrů Hermelín Zelený pepř 2 x 120g,kosik,291.25,Mléčné,291.25
Madeta Madeland Fit 20% sýr holandského typu,kosik,429.00,Sýry,429.0
Bambino Original,kosik,339.00,Sýry,339.0
Sedlčanský Hermelín na gril pikantní (4x100g),kosik,437.25,Sýry,437.25
Apetito se šunkou,kosik,377.86,Sýry,377.86
Grikios Feta PDO,kosik,549.00,Sýry,549.0
Président Camembert linea,kosik,532.22,Sýry,532.22
Heinrichsthaler Gouda bez laktózy bloček,kosik,499.60,Mléčné,499.6
Madeta Jihočeská  Niva 60%,kosik,399.00,Sýry,399.0
Madeta Jihočeské Lipno sýr extra smetanový (64%),kosik,285.00,Sýry,285.0
Pâturages Ementál,kosik,399.60,Sýry,399.6
Mini Babybel Original,kosik,666.11,Mléčné,666.11
